Delta_s,r_non_pub,r_lux_pub,public_share,candidate,EG,sdG,P_G_neg,p05,p95
-0.0275,0.567929009538547,0.129971553900937,0.7,exactopt_vs_selected,0.0418827912047105,0.0196657287998637,0.0185,0.00893711469017642,0.0743873878020083
-0.027,0.564122686405036,0.131695965486285,0.5,file2_vs_file1,0.0270781726500139,0.00621175807053474,0,0.0166702481117814,0.0371950575241617
-0.027,0.564122686405036,0.131695965486285,0.5,exactopt_vs_selected,0.0401040924652524,0.0176490180453499,0.01175,0.0105304426577791,0.0692566097446419
-0.027,0.564122686405036,0.131695965486285,0.7,file2_vs_file1,0.0270846868805659,0.00675833357341741,0,0.0157815665510699,0.0380895146456231
-0.027,0.564122686405036,0.131695965486285,0.7,exactopt_vs_selected,0.0401196161925949,0.0192146207321505,0.02125,0.00790597874908722,0.0718255256501224
-0.0265,0.560316363271524,0.133420377071632,0.5,file2_vs_file1,0.0265781726500138,0.00621175807053475,0,0.0161702481117814,0.0366950575241617
-0.0265,0.560316363271524,0.133420377071632,0.5,exactopt_vs_selected,0.0383811130347334,0.0172361786932878,0.0145,0.00951862489038134,0.0668676313150935
-0.0265,0.560316363271524,0.133420377071632,0.7,file2_vs_file1,0.0265847332008167,0.00675840191369611,0,0.0152815665510699,0.0375895146456231
-0.0265,0.560316363271524,0.133420377071632,0.7,exactopt_vs_selected,0.0383964748653822,0.0187652253105807,0.02425,0.00694028431503076,0.0693811544567441
-0.026,0.556510040138013,0.13514478865698,0.5,file2_vs_file1,0.0260781726500138,0.00621175807053475,0,0.0156702481117814,0.0361950575241617
-0.026,0.556510040138013,0.13514478865698,0.5,exactopt_vs_selected,0.0366979735855599,0.0168248610847382,0.0165,0.00850390150648088,0.0645193379870884
-0.026,0.556510040138013,0.13514478865698,0.7,file2_vs_file1,0.0260847482560107,0.00675842439922148,0,0.0147815665510699,0.037089514645623
-0.026,0.556510040138013,0.13514478865698,0.7,exactopt_vs_selected,0.0367130656067433,0.0183172973544473,0.0265,0.00602802427975203,0.0669765933597319
-0.0255,0.552703717004502,0.136869200242328,0.5,file2_vs_file1,0.0255781726500138,0.00621175807053475,0,0.0151702481117814,0.0356950575241617
-0.0255,0.552703717004502,0.136869200242328,0.5,exactopt_vs_selected,0.0350544773492774,0.0164150143028136,0.01825,0.00755988451237284,0.0621808754794362
-0.0255,0.552703717004502,0.136869200242328,0.7,file2_vs_file1,0.0255847482560107,0.00675842439922148,0,0.0142815665510699,0.036589514645623
-0.0255,0.552703717004502,0.136869200242328,0.7,exactopt_vs_selected,0.0350692494563953,0.0178708891761334,0.029,0.00514897864533053,0.0646111789998009
-0.025,0.54889739387099,0.138593611827675,0.5,file2_vs_file1,0.0250781726500138,0.00621175807053474,0,0.0146702481117814,0.0351950575241617
-0.025,0.54889739387099,0.138593611827675,0.5,exactopt_vs_selected,0.0334504336071043,0.0160065884090405,0.02175,0.00663374036629921,0.0598725540226508
-0.025,0.54889739387099,0.138593611827675,0.7,file2_vs_file1,0.0250847482560107,0.00675842439922148,0,0.0137815665510699,0.0360895146456231
-0.025,0.54889739387099,0.138593611827675,0.7,exactopt_vs_selected,0.0334648845074849,0.017426038971414,0.0315,0.00428040705691918,0.0622864884343848
-0.0245,0.545091070737479,0.140318023413023,0.5,file2_vs_file1,0.0245781726500138,0.00621175807053474,0,0.0141702481117814,0.0346950575241617
-0.0245,0.545091070737479,0.140318023413023,0.5,exactopt_vs_selected,0.0318856575465423,0.0155995343947975,0.0235,0.0057469251924871,0.0576486380064027
-0.0245,0.545091070737479,0.140318023413023,0.7,file2_vs_file1,0.0245847482560107,0.00675842439922148,0,0.0132815665510699,0.0355895146456231
-0.0245,0.545091070737479,0.140318023413023,0.7,exactopt_vs_selected,0.0318997859370587,0.0169826932458932,0.03325,0.00345031773091524,0.0599472786821944
-0.024,0.541284747603968,0.142042434998371,0.5,file2_vs_file1,0.0240781726500139,0.00621175807053474,0,0.0136702481117814,0.0341950575241617
-0.024,0.541284747603968,0.142042434998371,0.5,exactopt_vs_selected,0.0303599701248467,0.0151938041346523,0.0275,0.00489479790666823,0.0554409148730809
-0.024,0.541284747603968,0.142042434998371,0.7,file2_vs_file1,0.0240847482560107,0.00675842439922148,0.00025,0.0127815665510699,0.0350895146456231
-0.024,0.541284747603968,0.142042434998371,0.7,exactopt_vs_selected,0.0303737746911809,0.0165407994729572,0.03525,0.00266049624718909,0.0576831825892427
-0.0235,0.537478424470456,0.143766846583718,0.5,file2_vs_file1,0.0235781726500139,0.00621175807053475,0,0.0131702481117814,0.0336950575241617
-0.0235,0.537478424470456,0.143766846583718,0.5,exactopt_vs_selected,0.0288731979391379,0.0147893503415987,0.02975,0.00410644100815476,0.0532666709091552
-0.0235,0.537478424470456,0.143766846583718,0.7,file2_vs_file1,0.0235847482560107,0.00675842439922148,0.00025,0.0122815665510699,0.0345895146456231
-0.0235,0.537478424470456,0.143766846583718,0.7,exactopt_vs_selected,0.0288866773550556,0.0161003060448333,0.03725,0.00190570913543789,0.0554785568125213
-0.023,0.533672101336945,0.145491258169066,0.5,file2_vs_file1,0.0230781726500138,0.00621175807053474,0,0.0126702481117814,0.0331950575241617
-0.023,0.533672101336945,0.145491258169066,0.5,exactopt_vs_selected,0.027425173102754,0.0143861265239363,0.0325,0.00331357593124846,0.0511327565914725
-0.023,0.533672101336945,0.145491258169066,0.7,file2_vs_file1,0.0230847482560107,0.00675842439922148,0.00025,0.0117815665510699,0.0340895146456231
-0.023,0.533672101336945,0.145491258169066,0.7,exactopt_vs_selected,0.02743832602939,0.0156611622254494,0.0415,0.00120214722992274,0.0532812837625808
-0.0225,0.529865778203434,0.147215669754414,0.5,file2_vs_file1,0.0225781726500139,0.00621175807053474,0,0.0121702481117814,0.0326950575241617
-0.0225,0.529865778203434,0.147215669754414,0.5,exactopt_vs_selected,0.0260157331276464,0.0139840869437824,0.034,0.00256102026744045,0.0490477755194071
-0.0225,0.529865778203434,0.147215669754414,0.7,file2_vs_file1,0.0225847482560107,0.00675842439922148,0.00025,0.0112815665510699,0.0335895146456231
-0.0225,0.529865778203434,0.147215669754414,0.7,exactopt_vs_selected,0.0260285582127986,0.0152233181050811,0.04625,0.000526662574475624,0.0511291344721725
-0.022,0.526059455069922,0.148940081339761,0.5,file2_vs_file1,0.0220781726500138,0.00621175807053475,0.00025,0.0116702481117814,0.0321950575241617
-0.022,0.526059455069922,0.148940081339761,0.5,exactopt_vs_selected,0.0246447208125224,0.013583186577061,0.03625,0.00184569958551233,0.0469998876100857
-0.022,0.526059455069922,0.148940081339761,0.7,file2_vs_file1,0.0220847482560107,0.00675842439922148,0.00025,0.0107815665510699,0.0330895146456231
-0.022,0.526059455069922,0.148940081339761,0.7,exactopt_vs_selected,0.0246572166899527,0.0147867245566171,0.05175,-0.00013385912238948,0.049016527644059
-0.0215,0.522253131936411,0.150664492925109,0.5,file2_vs_file1,0.0215781726500138,0.00621175807053474,0.00025,0.0111702481117814,0.0316950575241617
-0.0215,0.522253131936411,0.150664492925109,0.5,exactopt_vs_selected,0.0233119841365104,0.0131833810748925,0.04,0.00118896596453907,0.0450193986444798
-0.0215,0.522253131936411,0.150664492925109,0.7,file2_vs_file1,0.0215847482560107,0.00675842439922148,0.00025,0.0102815665510699,0.0325895146456231
-0.0215,0.522253131936411,0.150664492925109,0.7,exactopt_vs_selected,0.0233241494252526,0.0143513331933591,0.05675,-0.000752175187681088,0.0469527030547067
-0.021,0.5184468088029,0.152388904510457,0.5,file2_vs_file1,0.0210781726500139,0.00621175807053474,0.00025,0.0106702481117814,0.0311950575241617
-0.021,0.5184468088029,0.152388904510457,0.5,exactopt_vs_selected,0.0220173761581172,0.0127846267262818,0.0445,0.000559398962581488,0.0430780542607054
-0.021,0.5184468088029,0.152388904510457,0.7,file2_vs_file1,0.0210847482560107,0.00675842439922148,0.00025,0.00978156655106991,0.0320895146456231
-0.021,0.5184468088029,0.152388904510457,0.7,exactopt_vs_selected,0.0220292094617896,0.0139170963282456,0.061,-0.00132138115780139,0.0449381423645086
-0.0205,0.514640485669388,0.154113316095804,0.5,file2_vs_file1,0.0205781726500138,0.00621175807053475,0.00025,0.0101702481117814,0.0306950575241617
-0.0205,0.514640485669388,0.154113316095804,0.5,exactopt_vs_selected,0.020760754919269,0.0123868804220222,0.05025,-1.34528499436063e-05,0.0411740444499265
-0.0205,0.514640485669388,0.154113316095804,0.7,file2_vs_file1,0.0205847482560107,0.00675842439922148,5e-04,0.00928156655106991,0.0315895146456231
-0.0205,0.514640485669388,0.154113316095804,0.7,exactopt_vs_selected,0.0207722548253908,0.0134839669344068,0.06725,-0.00185702987308483,0.0429786401834979
-0.02,0.510834162535877,0.155837727681152,0.5,file2_vs_file1,0.0200781726500138,0.00621175807053474,0.00025,0.00967024811178136,0.0301950575241617
-0.02,0.510834162535877,0.155837727681152,0.5,exactopt_vs_selected,0.0195419833542379,0.0119900996197257,0.05625,-0.000542694368542226,0.0392886811338524
-0.02,0.510834162535877,0.155837727681152,0.7,file2_vs_file1,0.0200847482560107,0.00675842439922148,0.00125,0.0087815665510699,0.0310895146456231
-0.02,0.510834162535877,0.155837727681152,0.7,exactopt_vs_selected,0.0195531484335487,0.0130518986069547,0.07325,-0.00235234516253006,0.0410573596813393
-0.0195,0.507027839402366,0.1575621392665,0.5,file2_vs_file1,0.0195781726500139,0.00621175807053474,0.00025,0.00917024811178137,0.0296950575241617
-0.0195,0.507027839402366,0.1575621392665,0.5,exactopt_vs_selected,0.0183609292032761,0.0115942423099138,0.06075,-0.00106269766520507,0.0374465044791695
-0.0195,0.507027839402366,0.1575621392665,0.7,file2_vs_file1,0.0195847482560107,0.00675842439922148,0.0015,0.00828156655106992,0.0305895146456231
-0.0195,0.507027839402366,0.1575621392665,0.7,exactopt_vs_selected,0.0183717580090568,0.0126208455259362,0.0775,-0.00278507058866154,0.0391704080243523
-0.019,0.503221516268854,0.159286550851848,0.5,file2_vs_file1,0.0190781726500139,0.00621175807053475,0.00025,0.00867024811178136,0.0291950575241617
-0.019,0.503221516268854,0.159286550851848,0.5,exactopt_vs_selected,0.0172174649307775,0.0111992669830773,0.06825,-0.00153668856589659,0.0356614613196205
-0.019,0.503221516268854,0.159286550851848,0.7,file2_vs_file1,0.0190847482560107,0.00675842439922148,0.002,0.00778156655106991,0.0300895146456231
-0.019,0.503221516268854,0.159286550851848,0.7,exactopt_vs_selected,0.0172279559981726,0.0121907624203482,0.08225,-0.00319013833714893,0.0372971629953697
-0.0185,0.499415193135343,0.161010962437195,0.5,file2_vs_file1,0.0185781726500139,0.00621175807053474,0.00125,0.00817024811178136,0.0286950575241617
-0.0185,0.499415193135343,0.161010962437195,0.5,exactopt_vs_selected,0.0161114676478164,0.0108051325976472,0.074,-0.00197121951034791,0.0339182925604271
-0.0185,0.499415193135343,0.161010962437195,0.7,file2_vs_file1,0.0185847482560107,0.00675842439922148,0.00275,0.00728156655106991,0.0295895146456231
-0.0185,0.499415193135343,0.161010962437195,0.7,exactopt_vs_selected,0.0161216194931553,0.0117616045331524,0.08875,-0.00358233226176041,0.0354861727203387
-0.018,0.495608870001832,0.162735374022543,0.5,file2_vs_file1,0.0180781726500139,0.00621175807053475,0.00125,0.00767024811178137,0.0281950575241617
-0.018,0.495608870001832,0.162735374022543,0.5,exactopt_vs_selected,0.0150428190389084,0.0104117985488042,0.07775,-0.00240256985257671,0.0322195179451621
-0.018,0.495608870001832,0.162735374022543,0.7,file2_vs_file1,0.0180847482560107,0.00675842439922148,0.00325,0.00678156655106991,0.0290895146456231
-0.018,0.495608870001832,0.162735374022543,0.7,exactopt_vs_selected,0.0150526301590255,0.0113333275872094,0.09475,-0.00392141468322987,0.0337212326282953
-0.0175,0.49180254686832,0.164459785607891,0.5,file2_vs_file1,0.0175781726500138,0.00621175807053475,0.00175,0.00717024811178136,0.0276950575241617
-0.0175,0.49180254686832,0.164459785607891,0.5,exactopt_vs_selected,0.0140114052928573,0.0100192246380616,0.0855,-0.00279207613898396,0.0305376892015172
-0.0175,0.49180254686832,0.164459785607891,0.7,file2_vs_file1,0.0175847482560107,0.00675842439922148,0.00475,0.00628156655106991,0.0285895146456231
-0.0175,0.49180254686832,0.164459785607891,0.7,exactopt_vs_selected,0.0140208741644103,0.010905887752062,0.0995,-0.00423006927365031,0.0320013708570554
-0.017,0.487996223734809,0.166184197193238,0.5,file2_vs_file1,0.0170781726500139,0.00621175807053474,0.00275,0.00667024811178136,0.0271950575241617
-0.017,0.487996223734809,0.166184197193238,0.5,exactopt_vs_selected,0.0130171170375595,0.00962737104356151,0.0915,-0.00313522565401873,0.0288929032962472
-0.017,0.487996223734809,0.166184197193238,0.7,file2_vs_file1,0.0170847482560107,0.00675842439922148,0.00525,0.00578156655106992,0.0280895146456231
-0.017,0.487996223734809,0.166184197193238,0.7,exactopt_vs_selected,0.0130262421163439,0.0104792416115011,0.10725,-0.00454445577394864,0.0303108443644329
-0.0165,0.484189900601298,0.167908608778586,0.5,file2_vs_file1,0.0165781726500139,0.00621175807053474,0.00325,0.00617024811178137,0.0266950575241617
-0.0165,0.484189900601298,0.167908608778586,0.5,exactopt_vs_selected,0.0120598492786455,0.00923619829102364,0.0965,-0.0034419461265999,0.0272837478288095
-0.0165,0.484189900601298,0.167908608778586,0.7,file2_vs_file1,0.0165847482560107,0.00675842439922148,0.00675,0.00528156655106992,0.0275895146456231
-0.0165,0.484189900601298,0.167908608778586,0.7,exactopt_vs_selected,0.0120686289989049,0.0100533461318492,0.114,-0.00479451220478996,0.0286513089571632
