Delta_s,r_non,r_lux,G_file1,G_file2,G_exactopt,G_exactopt_w100,gain_of_exactopt_over_better_of_the_two,gain_w100,kaggle_selects,mBCE_file1,mBCE_file2,mBCE_exactopt,third
-0.024,0.541284747603968,0.142042434998371,0,0.0239999999999999,0.0541945404614493,0.055474341264217,0.0301945404614494,0.0314743412642171,file2,0.615258399025347,0.591258399025347,0.561063858563898,TRUE
-0.0235,0.537478424470456,0.143766846583718,0,0.0235000000000001,0.0522116923981495,0.0534428976197149,0.0287116923981494,0.0299428976197148,file2,0.615902415390438,0.592402415390438,0.563690722992289,TRUE
-0.023,0.533672101336945,0.145491258169066,0,0.0230000000000001,0.0502676061565443,0.0514514868655337,0.0272676061565441,0.0284514868655336,file2,0.616546431755529,0.593546431755529,0.566278825598985,TRUE
-0.0225,0.529865778203434,0.147215669754414,0,0.0225,0.0483621194240279,0.0494999202296904,0.0258621194240279,0.0269999202296904,file2,0.61719044812062,0.59469044812062,0.568828328696592,TRUE
-0.022,0.526059455069922,0.148940081339761,0,0.0219999999999999,0.0464950751822977,0.0475880152836227,0.0244950751822978,0.0255880152836228,file2,0.617834464485711,0.595834464485711,0.571339389303413,TRUE
-0.0215,0.522253131936411,0.150664492925109,0,0.0215,0.0446663216009697,0.0457155957912769,0.0231663216009698,0.024215595791277,file2,0.618478480850802,0.596978480850802,0.573812159249832,TRUE
-0.021,0.5184468088029,0.152388904510457,0,0.0210000000000001,0.0428757119364958,0.0438824915661212,0.0218757119364956,0.0228824915661211,file2,0.619122497215893,0.598122497215893,0.576246785279397,TRUE
-0.0205,0.514640485669388,0.154113316095804,0,0.0205000000000001,0.0411231044361778,0.0420885383357075,0.0206231044361778,0.0215885383357074,file2,0.619766513580984,0.599266513580984,0.578643409144806,TRUE
-0.02,0.510834162535877,0.155837727681152,0,0.02,0.0394083622470804,0.0403335776134368,0.0194083622470804,0.0203335776134368,file2,0.620410529946075,0.600410529946075,0.581002167698994,TRUE
-0.0195,0.507027839402366,0.1575621392665,0,0.0195,0.0377313533296609,0.0386174565771972,0.018231353329661,0.0191174565771972,file2,0.621054546311166,0.601554546311166,0.583323192981505,TRUE
-0.019,0.503221516268854,0.159286550851848,0,0.0190000000000001,0.03609195037594,0.0369400279545752,0.0170919503759399,0.0179400279545751,file2,0.621698562676257,0.602698562676257,0.585606612300317,TRUE
-0.0185,0.499415193135343,0.161010962437195,0,0.0185,0.0344900307320593,0.0353011499143597,0.0159900307320593,0.0168011499143598,file2,0.622342579041348,0.603842579041348,0.587852548309288,TRUE
-0.018,0.495608870001832,0.162735374022543,0,0.0180000000000001,0.0329254763250723,0.0337006859640798,0.0149254763250721,0.0157006859640797,file2,0.622986595406438,0.604986595406438,0.590061119081366,TRUE
-0.0175,0.49180254686832,0.164459785607891,0,0.0175,0.0313981735938328,0.0321385048533315,0.0138981735938328,0.0146385048533315,file2,0.623630611771529,0.606130611771529,0.592232438177697,TRUE
-0.017,0.487996223734809,0.166184197193238,0,0.017,0.029908013423851,0.0306144804826719,0.012908013423851,0.0136144804826719,file2,0.62427462813662,0.60727462813662,0.594366614712769,TRUE
-0.0165,0.484189900601298,0.167908608778586,0,0.0165,0.0284548910859963,0.0291284918178739,0.0119548910859963,0.012628491817874,file2,0.624918644501711,0.608418644501711,0.596463753415715,TRUE
-0.016,0.480383577467786,0.169633020363934,0,0.016,0.0270387061789387,0.0276804228093485,0.0110387061789387,0.0116804228093484,file2,0.625562660866802,0.609562660866802,0.598523954687864,TRUE
-0.0155,0.476577254334275,0.171357431949281,0,0.0155000000000001,0.0256593625752245,0.0262701623165542,0.0101593625752244,0.0107701623165541,file2,0.626206677231893,0.610706677231893,0.600547314656669,TRUE
-0.015,0.472770931200764,0.173081843534629,0,0.015,0.024316768370892,0.0248976040372378,0.00931676837089201,0.00989760403723783,file2,0.626850693596984,0.611850693596984,0.602533925226092,TRUE
-0.0145,0.468964608067252,0.174806255119977,0,0.0145,0.0230108358385429,0.0235626464413482,0.00851083583854295,0.00906264644134824,file2,0.627494709962075,0.612994709962075,0.604483874123532,TRUE
-0.014,0.465158284933741,0.176530666705324,0,0.014,0.0217414813837857,0.022265192709489,0.00774148138378572,0.008265192709489,file2,0.628138726327166,0.614138726327166,0.60639724494338,TRUE
-0.0135,0.46135196180023,0.178255078290672,0,0.0135,0.020508625504984,0.0210051506757831,0.00700862550498405,0.00750515067578317,file2,0.628782742692257,0.615282742692257,0.608274117187273,TRUE
-0.013,0.457545638666718,0.17997948987602,0,0.0130000000000001,0.0193121927562405,0.0197824327750331,0.0063121927562404,0.00678243277503299,file2,0.629426759057348,0.616426759057347,0.610114566301107,TRUE
-0.0125,0.453739315533207,0.181703901461367,0,0.0125000000000001,0.0181521117135613,0.0185969559940745,0.00565211171356128,0.00609695599407445,file2,0.630070775422439,0.617570775422438,0.611918663708877,TRUE
-0.012,0.449932992399696,0.183428313046715,0,0.0119999999999999,0.0170283149441454,0.0174486418272259,0.00502831494414546,0.00544864182722604,file2,0.630714791787529,0.618714791787529,0.613686476843384,TRUE
-0.0115,0.446126669266184,0.185152724632063,0,0.0115000000000002,0.0159407389787559,0.016337416235754,0.00444073897875574,0.00483741623575384,file2,0.63135880815262,0.61985880815262,0.615418069173864,TRUE
-0.011,0.442320346132673,0.18687713621741,0,0.011,0.0148893242871304,0.0152632096112737,0.0038893242871304,0.00426320961127369,file2,0.632002824517711,0.621002824517711,0.617113500230581,TRUE
-0.0105,0.438514022999162,0.188601547802758,0,0.0105000000000001,0.013874015256402,0.0142259567430271,0.00337401525640191,0.003725956743027,file2,0.632646840882802,0.622146840882802,0.6187728256264,TRUE
-0.01,0.43470769986565,0.190325959388106,0,0.01,0.0128947601724911,0.0132255967889727,0.00289476017249113,0.00322559678897272,file2,0.633290857247893,0.623290857247893,0.620396097075402,TRUE
-0.0095,0.430901376732139,0.192050370973453,0,0.00950000000000006,0.0119515112044735,0.0122620732506485,0.0024515112044734,0.00276207325064848,file2,0.633934873612984,0.624434873612984,0.621983362408511,TRUE
-0.009,0.427095053598628,0.193774782558801,0,0.00900000000000001,0.0110442243918623,0.0113353339517608,0.00204422439186225,0.00233533395176078,file2,0.634578889978075,0.625578889978075,0.623534665586213,TRUE
-0.0085,0.423288730465116,0.195499194144149,0,0.00849999999999995,0.0101728596348424,0.0104453310204728,0.00167285963484243,0.0019453310204729,file2,0.635222906343166,0.626722906343166,0.625050046708323,FALSE
-0.008,0.419482407331605,0.197223605729496,0,0.00800000000000012,0.00933738068742052,0.00959202087537214,0.0013373806874204,0.00159202087537202,file2,0.635866922708257,0.627866922708257,0.626529542020836,FALSE
-0.0075,0.415676084198094,0.198948017314844,0,0.00750000000000017,0.00853775515350341,0.00877536421509373,0.00103775515350324,0.00127536421509356,file2,0.636510939073348,0.629010939073348,0.627973183919844,FALSE
-0.007,0.411869761064582,0.200672428900192,0,0.00700000000000001,0.00777395448590856,0.00799532601160513,0.000773954485908557,0.000995326011605124,file2,0.637154955438439,0.630154955438439,0.62938100095253,FALSE
-0.0065,0.408063437931071,0.202396840485539,0,0.00650000000000006,0.00704595398832131,0.00725187550714668,0.000545953988321246,0.000751875507146615,file2,0.63779897180353,0.631298971803529,0.630753017815208,FALSE
-0.006,0.40425711479756,0.204121252070887,0,0.00600000000000012,0.0063537328202129,0.0065449862148399,0.000353732820212782,0.000544986214839782,file2,0.63844298816862,0.63244298816862,0.632089255348408,FALSE
-0.0055,0.400450791664048,0.205845663656235,0,0.00550000000000006,0.00569727400474851,0.00587463592298498,0.000197274004748449,0.000374635922984923,file2,0.639087004533711,0.633587004533711,0.633389730528963,FALSE
-0.005,0.396644468530537,0.207570075241582,0,0.00499999999999989,0.00507656443971039,0.00524080670307092,7.65644397104914e-05,0.000240806703071028,file2,0.639731020898802,0.634731020898802,0.634654456459092,FALSE
-0.0045,0.392838145397026,0.20929448682693,0,0.00450000000000006,0.0044915949114771,0.00464348492153821,-8.40508852295585e-06,0.000143484921538151,file2,0.640375037263893,0.635875037263893,0.635883442352416,FALSE
-0.004,0.389031822263514,0.211018898412278,0,0.004,0.00394236011209614,0.00408266125533385,-5.76398879038598e-05,8.26612553338491e-05,file2,0.641019053628984,0.637019053628984,0.637076693516888,FALSE
-0.0035,0.385225499130003,0.212743309997625,0,0.00349999999999995,0.00342885865950748,0.00355833071131828,-7.11413404924643e-05,5.83307113183329e-05,file2,0.641663069994075,0.638163069994075,0.638234211334568,FALSE
-0.003,0.381419175996492,0.214467721582973,0,0.003,0.00295109312095732,0.00307049264958104,-4.89068790426872e-05,7.04926495810332e-05,file2,0.642307086359166,0.639307086359166,0.639355993238209,FALSE
-0.0025,0.377612852862981,0.216192133168321,0,0.00250000000000006,0.00250907003969336,0.00261915081074215,9.07003969330411e-06,0.000119150810742097,file2,0.642951102724257,0.640451102724257,0.640442032684564,FALSE
-0.002,0.373806529729469,0.217916544753668,0,0.00200000000000011,0.00210279996497731,0.00220431334731863,0.000102799964977196,0.000204313347318519,file2,0.643595119089348,0.641595119089348,0.641492319124371,FALSE
-0.0015,0.370000206595958,0.219640956339016,0,0.00150000000000006,0.00173229748551884,0.00182599285925111,0.000232297485518784,0.000325992859251056,file2,0.644239135454439,0.642739135454439,0.64250683796892,FALSE
-0.000999999999999997,0.366193883462447,0.221365367924364,0,0.00100000000000011,0.00139758126640477,0.0014842064336934,0.000397581266404656,0.000484206433693291,file2,0.64488315181953,0.64388315181953,0.643485570553125,FALSE
-0.000499999999999997,0.362387560328935,0.223089779509712,0,0.000500000000000056,0.00109867408961728,0.00117897568917735,0.000598674089617224,0.000678975689177297,file2,0.645527168184621,0.645027168184621,0.644428494095003,FALSE
0,0.358581237195424,0.224814191095059,0,0,0.000835602898248133,0.000910326824284047,0.000835602898248133,0.000910326824284047,file1,0.646171184549711,0.646171184549711,0.645335581651463,FALSE
5e-04,0.354774914061913,0.226538602680407,0,-0.000499999999999945,0.000608398844514912,0.000678290670957149,0.000608398844514912,0.000678290670957149,file1,0.646815200914802,0.647315200914802,0.646206802070287,FALSE
0.001,0.350968590928401,0.228263014265755,0,-0.00099999999999989,0.000417097341704364,0.00048290275261198,0.000417097341704364,0.00048290275261198,file1,0.647459217279893,0.648459217279893,0.647042119938189,FALSE
0.0015,0.34716226779489,0.229987425851102,0,-0.00149999999999995,0.000261738120171051,0.000324203347206509,0.000261738120171051,0.000324203347206509,file1,0.648103233644984,0.649603233644984,0.647841495524813,FALSE
0.002,0.343355944661379,0.23171183743645,0,-0.00199999999999989,0.000142365287534862,0.000202237555455675,0.000142365287534862,0.000202237555455675,file1,0.648747250010075,0.650747250010075,0.64860488472254,FALSE
0.0025,0.339549621527867,0.233436249021798,0,-0.00249999999999995,5.90273932293828e-05,0.000117055374385444,5.90273932293828e-05,0.000117055374385444,file1,0.649391266375166,0.651891266375166,0.649332238981937,FALSE
0.003,0.335743298394356,0.235160660607145,0,-0.003,1.1777497565868e-05,6.87117764416323e-05,1.1777497565868e-05,6.87117764416323e-05,file1,0.650035282740257,0.653035282740257,0.650023505242691,FALSE
0.0035,0.331936975260845,0.236885072192493,0,-0.00349999999999995,6.73245491689123e-07,5.72667943828931e-05,6.73245491689123e-07,5.72667943828931e-05,file1,0.650679299105348,0.654179299105348,0.650678625859856,FALSE
0.004,0.328130652127333,0.238609483777841,0,-0.004,2.57769452335355e-05,8.27856122117554e-05,2.57769452335355e-05,8.27856122117554e-05,file1,0.651323315470439,0.655323315470439,0.651297538525205,FALSE
0.0045,0.324324328993822,0.240333895363188,0,-0.00449999999999995,8.71556520325445e-05,0.000145338662413397,8.71556520325445e-05,0.000145338662413397,file1,0.65196733183553,0.65646733183553,0.651880176183497,FALSE
0.005,0.320518005860311,0.242058306948536,0,-0.00499999999999989,0.000184881257190961,0.000245001729796246,0.000184881257190961,0.000245001729796246,file1,0.652611348200621,0.657611348200621,0.65242646694343,FALSE
0.00550000000000001,0.316711682726799,0.243782718533884,0,-0.00549999999999995,0.00031903058266991,0.000381856062252606,0.00031903058266991,0.000381856062252606,file1,0.653255364565712,0.658755364565712,0.652936333983042,FALSE
0.00600000000000001,0.312905359593288,0.245507130119231,0,-0.00599999999999989,0.000489685481494528,0.000555988488782577,0.000489685481494528,0.000555988488782577,file1,0.653899380930803,0.659899380930803,0.653409695449308,FALSE
0.0065,0.309099036459777,0.247231541704579,0,-0.00649999999999995,0.000696932944238005,0.00076749154514999,0.000696932944238005,0.00076749154514999,file1,0.654543397295893,0.661043397295893,0.653846464351655,FALSE
0.007,0.305292713326265,0.248955953289927,0,-0.00700000000000001,0.000940865211885411,0.00101646360757679,0.000940865211885411,0.00101646360757679,file1,0.655187413660984,0.662187413660984,0.654246548449099,FALSE
0.0075,0.301486390192754,0.250680364875274,0,-0.00749999999999995,0.00122157989539207,0.00130300903490199,0.00122157989539207,0.00130300903490199,file1,0.655831430026075,0.663331430026075,0.654609850130683,TRUE
0.008,0.297680067059243,0.252404776460622,0,-0.0079999999999999,0.00153918010226795,0.00162723831968015,0.00153918010226795,0.00162723831968015,file1,0.656475446391166,0.664475446391166,0.654936266288898,TRUE
0.0085,0.293873743925731,0.25412918804597,0,-0.00849999999999995,0.00189377457058237,0.00198926824872236,0.00189377457058237,0.00198926824872236,file1,0.657119462756257,0.665619462756257,0.655225688185675,TRUE
0.009,0.29006742079222,0.255853599631317,0,-0.0089999999999999,0.00228547781074806,0.00238922207363113,0.00228547781074806,0.00238922207363113,file1,0.657763479121348,0.666763479121348,0.6554780013106,TRUE
0.0095,0.286261097658709,0.257578011216665,0,-0.00949999999999995,0.00271441025553509,0.00282722969191784,0.00271441025553509,0.00282722969191784,file1,0.658407495486439,0.667907495486439,0.655693085230904,TRUE
0.01,0.282454774525197,0.259302422802013,0,-0.0099999999999999,0.00318069841876012,0.00330342783935245,0.00318069841876012,0.00330342783935245,file1,0.65905151185153,0.66905151185153,0.65587081343277,TRUE
0.0105,0.278648451391686,0.26102683438736,0,-0.0105,0.00368447506314551,0.00381796029423609,0.00368447506314551,0.00381796029423609,file1,0.659695528216621,0.670195528216621,0.656011053153475,TRUE
0.011,0.274842128258175,0.262751245972708,0,-0.0109999999999999,0.00422587937787711,0.00437097809435627,0.00422587937787711,0.00437097809435627,file1,0.660339544581712,0.671339544581712,0.656113665203835,TRUE
0.0115,0.271035805124663,0.264475657558056,0,-0.0115,0.00480505716643087,0.0049626397674426,0.00480505716643087,0.0049626397674426,file1,0.660983560946803,0.672483560946803,0.656178503780372,TRUE
0.012,0.267229481991152,0.266200069143403,0,-0.0119999999999999,0.00542216104528615,0.00559311157601539,0.00542216104528615,0.00559311157601539,file1,0.661627577311894,0.673627577311893,0.656205416266607,TRUE
0.0125,0.263423158857641,0.267924480728751,0,-0.0125,0.00607735065418746,0.00626256777759426,0.00607735065418746,0.00626256777759426,file1,0.662271593676984,0.674771593676984,0.656194243022797,TRUE
0.013,0.259616835724129,0.269648892314099,0,-0.013,0.00677079287867366,0.00697119090132259,0.00677079287867366,0.00697119090132259,file1,0.662915610042075,0.675915610042075,0.656144817163402,TRUE
