m1,m2,nested,nested_sd,plain,w1,w2,Temp,eps,test_p4,seg_oof,f1,f2,f3,f4,f5,delta_vs_prod,p4_gap
lcmnl3,xgb_lw2bag,1.12978027475717,0.0144179597999292,1.12926658398946,0.413262201457211,0.586737798542789,0.962875353265735,0.00461487971994993,0.250661453051922,1.19753593750613,1.14302922423104,1.11001048462968,1.12239693344826,1.14428068106094,1.12918405041593,0.00159081939879924,0.0158485469480785
lcmnl3x,xgb_lw2bag,1.12978027475717,0.0144179597999292,1.12926658398946,0.413262201457211,0.586737798542789,0.962875353265735,0.00461487971994993,0.250661453051922,1.19753593750613,1.14302922423104,1.11001048462968,1.12239693344826,1.14428068106094,1.12918405041593,0.00159081939879924,0.0158485469480785
lcmnl4,xgb_lw2fr,1.12984631152506,0.0137669380700806,1.12927659358739,0.387651775582758,0.612348224417242,0.977382167634701,0.000600475479946614,0.253910883382421,1.19967652209497,1.14318526839873,1.10982254225648,1.12344907370711,1.14152253665279,1.13125213661019,0.00165685616668765,0.0125991166175793
lcmnl3_sm,xgb_monor,1.12984937953163,0.0146097087995831,1.12921089334882,0.534221802348847,0.465778197651154,0.986863053239279,5.60130190318431e-05,0.247921477893279,1.19530493244511,1.1460138388121,1.11372055387843,1.1198833702706,1.14439887961775,1.12523025507926,0.00165992417325889,0.0185885221067211
lcmnl3_drift,xgb_lw2bag3,1.12985223668092,0.0149381469847418,1.12932356075418,0.452668927565921,0.547331072434079,0.96512460397105,0.00497228781210091,0.24965268179846,1.19596925777824,1.14486550832546,1.10918402570094,1.12270173090068,1.14356591764197,1.12894400083555,0.00166278132254694,0.0168573182015405
lcmnl3_both,xgb_monoc,1.12993294240206,0.0138618866988181,1.12925430866371,0.529222204597045,0.470777795402955,0.975823923251935,0.00494056573415768,0.247826764667927,1.19556377569156,1.14471989515411,1.11485768473037,1.11862363824345,1.14371728440358,1.12774620947879,0.00174348704368787,0.0186832353320733
lcmnl3_tilt,xgb_monoc,1.12994958590929,0.0138276014202984,1.12930509512912,0.526605259313809,0.473394740686191,0.97610226772877,0.00488661522375848,0.247749609114071,1.19559513596671,1.14465410511199,1.11502196965327,1.11862119401434,1.14380934920757,1.1276413115593,0.00176013055092206,0.018760390885929
lcmnl3_bag,xgb_lw2fr10,1.12997361671895,0.0144041969801222,1.12927250094419,0.403264786889611,0.596735213110389,0.960053988850706,0.0121656418580756,0.253785298766175,1.19740765377561,1.14421083881673,1.10978964198548,1.12268098609686,1.14287857435463,1.13030804234104,0.00178416136057757,0.0127247012338252
lcmnl3_both,xgb_bagB,1.12997506266874,0.0153553645888306,1.12944114153274,0.511634498136236,0.488365501863764,0.954711367438062,0.00516237120946208,0.247240102870748,1.19617792616278,1.14524128633121,1.1088466407259,1.12065067551237,1.14311004752313,1.13202666325111,0.00178560731037147,0.0192698971292517
lcmnl3_tilt,xgb_bagB,1.13000647429901,0.0153059713907247,1.12948557797111,0.509290607418463,0.490709392581537,0.954677243099266,0.0053174394062824,0.24715810568138,1.1961891010171,1.14516844317156,1.10899612656696,1.12068598384201,1.14324122701962,1.13194059089488,0.00181701894063457,0.0193518943186201
lcmnl5,xgb_lw2fr10,1.13001138358729,0.0134925537660513,1.12957990587282,0.375712131459186,0.624287868540814,0.978432157999842,0.000753523543883787,0.256478693452276,1.2020324959417,1.14015982136329,1.11022166081313,1.12340553782261,1.14351780529545,1.13275209264196,0.00182192822891647,0.0100313065477243
lcmnl2,xgb_lw2fr10,1.13006670821803,0.0128711235935575,1.12959573589734,0.367385960924735,0.632614039075266,0.948694438314377,0.0186962125397235,0.257520787245431,1.19702438187359,1.13969039539378,1.11168775471725,1.12439927785884,1.1442111347691,1.1303449783512,0.00187725285966267,0.00898921275456938
lcmnl3_drift,xgb_mono,1.13010371967135,0.0141724752352246,1.12957960757073,0.473599560986096,0.526400439013904,0.989960073144805,7.22043598938314e-06,0.250626855943895,1.19733221178531,1.14670722159773,1.11599595236482,1.12053923275427,1.14394022674203,1.12333596489789,0.0019142643129757,0.0158831440561051
lcmnl3_drift,xgb_monobag,1.13013091180749,0.014288828476708,1.1296591872412,0.427217925485145,0.572782074514855,0.967250089281354,2.6488391945329e-06,0.251132033848927,1.19904443926483,1.14464333158564,1.11208007214549,1.12136056876149,1.14427176924905,1.12829881729576,0.00194145644911581,0.015377966151073
lcmnl3_bag,xgb_lw2fr,1.13014933695918,0.0143843254135738,1.12944673719549,0.411316670182904,0.588683329817096,0.957198415622371,0.0143434502499513,0.252462643938053,1.19705695241417,1.14456234554485,1.1098041506414,1.123428364042,1.14283009437078,1.13012173019687,0.00195988160080862,0.0140473560619467
lcmnl5,xgb_lw2fr,1.13023856492978,0.0134189341140017,1.12977197204719,0.384278082481674,0.615721917518326,0.977955276136461,0.00106709501774776,0.255143350543872,1.20173611543608,1.140527985932,1.11030984285577,1.12420324944354,1.14345979314786,1.13269195326972,0.00204910957140658,0.0113666494561278
lcmnl3_sm,xgb_monoc,1.13024675354746,0.0137226853107958,1.1295497359665,0.529141080031717,0.470858919968283,0.976390277731094,0.00277627587217788,0.248900685775857,1.19591988924703,1.1448868600752,1.11545832247227,1.11902178809944,1.14398144935821,1.12788534773218,0.0020572981890874,0.0176093142241432
lcmnl3p,xgb_lw2bag3,1.13026228902161,0.0147782371776336,1.12976568445583,0.438685602451565,0.561314397548435,0.962901517581341,0.00485964319692103,0.248631332537837,1.19614020826665,1.14463725228015,1.10960460250256,1.12357526246729,1.14420980642489,1.12928452143317,0.00207283366324029,0.0178786674621633
lcmnl2,xgb_lw2fr,1.13027051995216,0.0127919186998161,1.12979161895576,0.374874984687657,0.625125015312343,0.945336345073406,0.0210955888646782,0.256179465502873,1.19664026878695,1.14004971441609,1.11180711242422,1.12520087281261,1.14413733620522,1.13015756390266,0.00208106459378898,0.0103305344971271
lcmnl,xgb_lw2bag3,1.13031977803375,0.0148689502714372,1.12981041062741,0.436930427137329,0.563069572862671,0.963387363309201,0.00501439355790654,0.248670466333155,1.19624068269518,1.14487710986922,1.10956087973198,1.12353249912121,1.14426647395528,1.12936192749104,0.00213032267537416,0.0178395336668452
lcmnl3,xgb_lw2bag3,1.13031977803375,0.0148689502714372,1.12981041062741,0.436930427137329,0.563069572862671,0.963387363309201,0.00501439355790654,0.248670466333155,1.19624068269518,1.14487710986922,1.10956087973198,1.12353249912121,1.14426647395528,1.12936192749104,0.00213032267537416,0.0178395336668452
lcmnl3x,xgb_lw2bag3,1.13031977803375,0.0148689502714372,1.12981041062741,0.436930427137329,0.563069572862671,0.963387363309201,0.00501439355790654,0.248670466333155,1.19624068269518,1.14487710986922,1.10956087973198,1.12353249912121,1.14426647395528,1.12936192749104,0.00213032267537416,0.0178395336668452
lcmnl3_sm,xgb_bagB,1.13032304586116,0.0152476135418717,1.12978644428253,0.512916666430354,0.487083333569646,0.952505222044286,0.00513662892115648,0.248188914599286,1.19656409432184,1.14541949233876,1.10940504242722,1.12098567479101,1.14348866521677,1.13231635453203,0.00213359050278883,0.0183210854007136
lcmnl3b,xgb_lw2bag,1.13041454535573,0.0145831903685431,1.12983626505487,0.398934444448366,0.601065555551634,0.97206963959564,0.000600661934862462,0.253371275966339,1.19841252879049,1.1433635878486,1.11022891247111,1.12272253508986,1.1451225225181,1.13063516885099,0.00222508999736215,0.0131387240336608
