r_non,r_lux,dl,dn,du,G_w85,G_w100,dl_w85,dn_w85,du_w85,dl_w100,dn_w100,du_w100
0.245,0.276270884189119,0.362109080596209,-0.270686164817507,0.153114307793542,0.00979246537621414,0.0100033759885707,0.362109080596209,-0.270686164817507,0.153114307793542,0.420865493379277,-0.321435801550352,0.179216781731398
0.2475,0.275138287504036,0.356384945657566,-0.257683187614525,0.153114307793542,0.0092350183990576,0.00943343108679728,0.356384945657566,-0.257683187614525,0.153114307793542,0.414274765915703,-0.305833010244068,0.179216781731398
0.25,0.274005690818953,0.350648392709115,-0.244745989147173,0.153114307793542,0.0086944104284965,0.0088807532182239,0.350648392709115,-0.244745989147173,0.153114307793542,0.407668261091811,-0.290327955079033,0.179216781731398
0.2525,0.27287309413387,0.34489931631394,-0.23187332541579,0.153114307793542,0.00817058441352481,0.00834527942242669,0.34489931631394,-0.23187332541579,0.153114307793542,0.401045823524171,-0.274918431212849,0.179216781731398
0.255,0.271740497448787,0.339137609963434,-0.21906398077226,0.153114307793542,0.00766348487147361,0.00782694855540445,0.339137609963434,-0.21906398077226,0.153114307793542,0.394407296054845,-0.259602294940258,0.179216781731398
0.2575,0.270607900763704,0.333363166061395,-0.206316766993706,0.153114307793542,0.00717305785237898,0.00732570124426279,0.333363166061395,-0.206316766993706,0.153114307793542,0.387752519721209,-0.244377461290115,0.179216781731398
0.26,0.269475304078621,0.327575875907308,-0.193630522392841,0.153114307793542,0.00669925090468726,0.0068414798437505,0.327575875907308,-0.193630522392841,0.153114307793542,0.381081333725162,-0.229241901737119,0.179216781731398
0.2625,0.268342707393538,0.321775629681284,-0.181004110963243,0.153114307793542,0.00624201304225336,0.00637422839456114,0.321775629681284,-0.181004110963243,0.153114307793542,0.374393575401686,-0.214193642021653,0.179216781731398
0.265,0.267210110708456,0.315962316424988,-0.168436421557898,0.153114307793542,0.00580129471254731,0.00592389258331938,0.315962316424988,-0.168436421557898,0.153114307793542,0.367689080186756,-0.199230760071652,0.179216781731398
0.2675,0.266077514023373,0.310135824026121,-0.15592636709944,0.153114307793542,0.00537704776606307,0.00549041970417319,0.310135824026121,-0.15592636709944,0.153114307793542,0.360967681584577,-0.184351384020728,0.179216781731398
0.27,0.26494491733829,0.304296039200444,-0.14347288382063,0.153114307793542,0.00496922542684419,0.00507375862192183,0.304296039200444,-0.14347288382063,0.153114307793542,0.354229211134134,-0.169553690317216,0.179216781731398
0.2725,0.263812320653207,0.298442847473988,-0.131074930533659,0.153114307793542,0.00457778226409855,0.00467385973660994,0.298442847473988,-0.131074930533659,0.153114307793542,0.347473498375041,-0.154835901919104,0.179216781731398
0.275,0.262679723968124,0.292576133164918,-0.118731487926953,0.153114307793542,0.00420267416485409,0.00429067494952429,0.292576133164918,-0.118731487926953,0.153114307793542,0.340700370812653,-0.140196286570148,0.179216781731398
