s,r_non,r_lux,G_w85,G_w100,G_min_4corners,verdict
1.334,0.521739754116027,0.150897072932134,0.0444225909204156,0.0454094667866666,0.0418089096106881,ADOPT
1.335,0.518820328303797,0.152219685731045,0.0430497429370951,0.0440040423815284,0.0404789047932506,ADOPT
1.336,0.515900902491567,0.153542298529956,0.0416992587966092,0.0426216589111679,0.0391711459487927,ADOPT
1.337,0.512981476679337,0.154864911328866,0.04037107628089,0.0412622443126406,0.0378855740533487,ADOPT
1.338,0.510062050867107,0.156187524127777,0.039065134847265,0.0399257284968174,0.0366221317164682,ADOPT
1.339,0.507142625054877,0.157510136926688,0.0377813756062064,0.038612043317153,0.0353807631606907,ADOPT
1.34,0.504223199242647,0.158832749725599,0.0365197412999879,0.0373211225397607,0.0341614142018847,ADOPT
1.341,0.501303773430417,0.16015536252451,0.0352801762822341,0.0360529018147654,0.0329640322304292,ADOPT
1.342,0.498384347618187,0.161477975323421,0.034062626498327,0.0348073186488753,0.0317885661932167,ADOPT
1.343,0.495464921805957,0.162800588122331,0.0328670394666557,0.0335843123791562,0.0306349665764605,ADOPT
1.344,0.492545495993727,0.164123200921242,0.0316933642606874,0.0323838241479507,0.0295031853892829,ADOPT
1.345,0.489626070181497,0.165445813720153,0.030541551491837,0.0312057968789268,0.028393176148072,ADOPT
1.346,0.486706644369267,0.166768426519064,0.0294115532931202,0.0300501752542095,0.0273048938615874,ADOPT
1.347,0.483787218557037,0.168091039317975,0.0283033233035728,0.0289169056925762,0.0262382950168006,ADOPT
1.348,0.480867792744807,0.169413652116886,0.0272168166534152,0.0278059363286797,0.0251933375654547,ADOPT
1.349,0.477948366932577,0.170736264915796,0.0261519899499545,0.0267172169932772,0.0241699809113318,ADOPT
1.35,0.475028941120347,0.172058877714707,0.0251088012641999,0.0256506991944371,0.0231681858982107,ADOPT
1.351,0.472109515308117,0.173381490513618,0.0240872101181889,0.0246063360997022,0.0221879147985117,ADOPT
1.352,0.469190089495887,0.174704103312529,0.0230871774730025,0.0235840825191858,0.0212291313026056,ADOPT
1.353,0.466270663683657,0.17602671611144,0.0221086657174617,0.0225838948895813,0.0202918005087894,ADOPT
1.354,0.463351237871427,0.177349328910351,0.0211516386574944,0.021605731259064,0.0193758889139068,ADOPT
1.355,0.460431812059197,0.178671941709261,0.0202160615061606,0.020649551273071,0.0184813644046188,ADOPT
1.356,0.457512386246967,0.179994554508172,0.0193019008743354,0.0197153161609384,0.0176081962492995,ADOPT
1.357,0.454592960434737,0.181317167307083,0.0184091247620148,0.0188029887233838,0.0167563550905698,ADOPT
1.358,0.451673534622507,0.182639780105994,0.0175377025502812,0.0179125333208168,0.0159258129384431,ADOPT
1.359,0.448754108810277,0.183962392904905,0.0166876049938762,0.0170439158624675,0.0151165431640925,ADOPT
1.36,0.445834682998047,0.185285005703815,0.0158588042144019,0.0161971037963203,0.0143285204942262,ADOPT
1.361,0.442915257185817,0.186607618502726,0.0150512736941373,0.0153720660998403,0.0135617210060668,ADOPT
1.362,0.439995831373587,0.187930231301637,0.0142649882704624,0.0145687732714858,0.012816122122945,ADOPT
1.363,0.437076405561357,0.189252844100548,0.0134999241308885,0.0137871973229958,0.0120917026104718,ADOPT
1.364,0.434156979749127,0.190575456899459,0.0127560588087001,0.0130273117724471,0.0113884425733305,ADOPT
