structure_,fold,member,lambda,d_glob,d_lux_raw,d_non_raw,d_lux_shr,d_non_shr
folds,4,xgb_long,0.75,-0.047043494938817,-0.640219213389807,0.0013104351345693,-0.49192528377706,-0.0107780473837773
folds,4,xgb_wide,0.75,-0.0234209074604655,-0.605752111632955,0.024136669220502,-0.460169310589833,0.0122472750502601
folds,4,xgb_2stage,0.75,0.00256979246804627,-0.619481479320369,0.0538699144004327,-0.463968661373265,0.0410448839173361
folds,5,xgb_lw2bag,0.75,-0.0347653674881638,-0.604896347379593,0.0138489904117622,-0.462363602406736,0.00169540093678068
folds,5,lcmnl3_both,0,-0.0122347314218675,-0.0883795851886264,-0.00650666541460613,-0.0122347314218675,-0.0122347314218675
folds,5,xgb_long,0.75,-0.0264175836948719,-0.610419982022285,0.023155291431054,-0.464419382440432,0.0107620726495725
folds,5,xgb_wide,0.75,-0.00374022672272303,-0.601333451560014,0.0474013955665037,-0.451935145350691,0.034615989994197
folds,5,xgb_2stage,0.75,0.018966974088243,-0.597274863077023,0.0720100919295797,-0.443214403785706,0.0587493124692456
folds_b,1,xgb_lw2bag,0.5,-0.0509799867107383,-0.621446007778904,-0.0036815217387889,-0.336212997244821,-0.0273307542247636
folds_b,1,lcmnl3_both,0,-0.0367191257756789,-0.120390817333529,-0.0306228489173306,-0.0367191257756789,-0.0367191257756789
folds_b,1,xgb_long,0.5,-0.0552168766231944,-0.637698173912166,-0.00708245603324298,-0.34645752526768,-0.0311496663282187
folds_b,1,xgb_wide,0.5,-0.0305085620258833,-0.60203706445744,0.0167809558995852,-0.316272813241662,-0.00686380306314906
folds_b,1,xgb_2stage,0.75,-0.00539945240197602,-0.597849263156972,0.0436719935368715,-0.449736810468223,0.0314041320521597
folds_b,2,xgb_lw2bag,0.75,-0.015309667498496,-0.568114122812922,0.0313813066642226,-0.429913008984316,0.0197085631235429
folds_b,2,lcmnl3_both,0,0.00972452355891296,-0.0502131708277517,0.0142158926776875,0.00972452355891296,0.00972452355891296
folds_b,2,xgb_long,0.75,-0.0077602044502154,-0.563526162533025,0.0391306734138344,-0.424584673012323,0.027407953947822
folds_b,2,xgb_wide,0.75,0.0137799105155086,-0.540553791380268,0.0606252395501699,-0.401970365906324,0.0489139072915045
folds_b,2,xgb_2stage,0.75,0.0398457726226797,-0.526922412894841,0.0880003188610382,-0.385230366515461,0.0759616823014486
folds_b,3,xgb_lw2bag,0.5,-0.0291722284571803,-0.637882985456487,0.0202123397032721,-0.333527606956834,-0.0044799443769541
folds_b,3,lcmnl3_both,0,-0.0180764764137167,-0.146691453641278,-0.00887112736719497,-0.0180764764137167,-0.0180764764137167
folds_b,3,xgb_long,0.75,-0.0244124785743514,-0.645257703351402,0.0258809006301557,-0.490046397157139,0.0133075558290289
folds_b,3,xgb_wide,0.5,0.00285427340706686,-0.612967850996604,0.0529871062286683,-0.305056788794768,0.0279206898178676
folds_b,3,xgb_2stage,0.75,0.0280185823074653,-0.599689416501259,0.078916869545751,-0.442762416799078,0.0661922977361795
folds_b,4,xgb_lw2bag,1,-0.00303832046154583,-0.956334779080056,0.065734105852713,-0.956334779080056,0.065734105852713
folds_b,4,lcmnl3_both,1,0.0119627461676106,-0.444355605471004,0.0409635275997532,-0.444355605471004,0.0409635275997532
folds_b,4,xgb_long,1,-0.00206697315983381,-0.957816262053852,0.06706380365997,-0.957816262053852,0.06706380365997
folds_b,4,xgb_wide,1,0.0197313698017868,-0.939480811385785,0.0893860897520535,-0.939480811385785,0.0893860897520535
folds_b,4,xgb_2stage,1,0.0445023414061312,-0.915617945651415,0.114216892878108,-0.915617945651415,0.114216892878108
folds_b,5,xgb_lw2bag,0.75,-0.0330617002602084,-0.655529828258486,0.0177458466913944,-0.499912796258917,0.00504395995349369
folds_b,5,lcmnl3_both,0,-0.0189195431067084,-0.168516078548465,-0.00813137435843349,-0.0189195431067084,-0.0189195431067084
folds_b,5,xgb_long,0.75,-0.0283557502635619,-0.649774303138152,0.0220982555709804,-0.494419664919504,0.00948475411234483
folds_b,5,xgb_wide,0.5,-0.00642633315671563,-0.622443332854427,0.0437239153698137,-0.314434833005571,0.018648791106549
folds_b,5,xgb_2stage,0.75,0.0212921439265001,-0.603105999280522,0.0722319262568631,-0.447006463478767,0.0594969806742724
